"행정구역","2025년04월_총인구수","2025년04월_세대수","2025년04월_세대당 인구","2025년04월_남자 인구수","2025년04월_여자 인구수","2025년04월_남여 비율"
"전국  (1000000000)","51,175,725","24,212,185","          2.11","25,474,633","25,701,092","          0.99"
"서울특별시  (1100000000)","9,331,860","4,498,689","          2.07","4,501,804","4,830,056","          0.93"
"부산광역시  (2600000000)","3,256,408","1,573,173","          2.07","1,584,035","1,672,373","          0.95"
"대구광역시  (2700000000)","2,359,159","1,107,916","          2.13","1,156,613","1,202,546","          0.96"
"인천광역시  (2800000000)","3,033,844","1,385,644","          2.19","1,515,919","1,517,925","          1.00"
"광주광역시  (2900000000)","1,400,827","658,338","          2.13","691,334","709,493","          0.97"
"대전광역시  (3000000000)","1,439,393","692,420","          2.08","717,423","721,970","          0.99"
"울산광역시  (3100000000)","1,094,460","496,578","          2.20","563,471","530,989","          1.06"
"세종특별자치시  (3600000000)","391,992","164,710","          2.38","195,101","196,891","          0.99"
"경기도  (4100000000)","13,702,756","6,084,016","          2.25","6,884,608","6,818,148","          1.01"
"강원특별자치도  (5100000000)","1,512,088","766,296","          1.97","760,329","751,759","          1.01"
"충청북도  (4300000000)","1,590,735","791,497","          2.01","810,131","780,604","          1.04"
"충청남도  (4400000000)","2,135,908","1,057,684","          2.02","1,096,057","1,039,851","          1.05"
"전북특별자치도  (5200000000)","1,732,439","866,486","          2.00","863,216","869,223","          0.99"
"전라남도  (4600000000)","1,785,003","914,302","          1.95","901,278","883,725","          1.02"
"경상북도  (4700000000)","2,522,609","1,296,263","          1.95","1,276,838","1,245,771","          1.02"
"경상남도  (4800000000)","3,218,731","1,543,107","          2.09","1,622,833","1,595,898","          1.02"
"제주특별자치도  (5000000000)","667,513","315,066","          2.12","333,643","333,870","          1.00"
